hip,hd,bayer,flam,con,mag,dist
84345,156014,Alp-1,64,Her,2.78,110.2536
84379,156164,Del,65,Her,3.12,23.0362
84380,156283,Pi,67,Her,3.16,115.4734
84405,155885,,36,Oph,4.33,5.9333
84514,156266,,41,Oph,4.72,63.0915
84535,183030,Lam,,UMi,6.31,271.7391
84573,156633,,68,Her,4.8,204.0816
84606,156729,,69,Her,4.64,53.7924
84625,156350,Omi,39,Oph,6.59,98.2318
84626,156349,Omi,39,Oph,5.14,90.4159
84835,157325,,74,Her,5.51,170.9402
84862,157214,,72,Her,5.38,14.3266
84880,156928,Nu,53,Ser,4.32,62.3053
84887,157198,,70,Her,5.13,131.0616
84893,156897,Xi,40,Oph,4.39,17.3551
84969,156277,Zet,,Aps,4.76,91.1577
84970,157056,The,42,Oph,3.27,133.6898
84979,156190,Iot,,Aps,5.39,404.8583
85079,157042,Iot,,Ara,5.21,286.533
85084,157236,,43,Oph,5.3,251.2563
85112,157778,Rho,75,Her,4.15,120.6273
85157,157728,,73,Her,5.7,42.6985
85258,157244,Bet,,Ara,2.84,198.0198
85267,157246,Gam,,Ara,3.31,341.2969
85312,157457,Kap,,Ara,5.19,139.6648
85340,157792,,44,Oph,4.16,25.4972
85355,157999,Sig,49,Oph,4.34,276.2431
85379,158414,,77,Her,5.83,115.2074
85423,157919,,45,Oph,4.28,34.2114
85670,159181,Bet,23,Dra,2.79,116.5501
85693,158899,Lam,76,Her,4.41,113.2503
85696,158408,Ups,34,Sco,2.7,176.6784
85699,166926,,24,UMi,5.78,46.8823
85703,158527,,50,Oph,7.39,97.1817
85727,158094,Del,,Ara,3.6,60.6796
85755,158643,,51,Oph,4.78,124.3781
85790,159139,,78,Her,5.66,82.0345
85792,158427,Alp,,Ara,2.84,81.9672
85805,159966,,27,Dra,5.07,64.6831
85819,159541,Nu-1,24,Dra,4.89,30.248
85822,166205,Del,23,UMi,4.35,52.7704
85829,159560,Nu-2,25,Dra,4.86,30.4878
85852,160538,,29,Dra,6.61,103.5197
85927,158926,Lam,35,Sco,1.62,175.1313
85979,159466,,54,Oph,6.52,146.1988
85998,159480,,53,Oph,5.8,103.5197
86032,159561,Alp,55,Oph,2.08,14.8965
86036,160269,,26,Dra,5.23,14.1904
86041,159610,,56,Oph,7.27,140.2525
86060,159376,,52,Oph,6.47,258.3979
86092,159217,Sig,1,Ara,4.56,116.0093
86182,160290,,82,Her,5.35,108.3424
86201,160922,Ome,28,Dra,4.77,23.1642
86228,159532,The,,Sco,1.86,92.081
86254,160181,,79,Her,5.76,76.6871
86263,159876,Xi,55,Ser,3.54,32.2789
86284,159975,Mu,57,Oph,4.58,231.4815
86305,159492,Pi,,Ara,5.25,44.5633
86414,160762,Iot,85,Her,3.82,139.47
86486,160032,Lam,,Ara,4.76,21.45
86565,160613,Omi,56,Ser,4.24,53.1067
86614,162003,Psi-1,31,Dra,4.57,22.8363
86620,162004,Psi-1,31,Dra,5.81,23.0627
86667,161074,,83,Her,5.56,124.3781
86670,160578,Kap,,Sco,2.39,148.1481
86731,161239,,84,Her,5.73,39.0625
86736,160915,,58,Oph,4.86,17.6523
86742,161096,Bet,60,Oph,2.76,25.0941
86796,160691,Mu,,Ara,5.12,15.5111
86831,161270,,61,Oph,6.16,84.8176
86929,160635,Eta,,Pav,3.61,107.9914
86974,161797,Mu,86,Her,3.42,8.3105
87072,161592,,3,Sgr,4.53,302.1148
87073,161471,Iot-1,,Sco,2.99,591.716
87108,161868,Gam,62,Oph,3.75,31.5159
87194,162211,,87,Her,5.09,64.9773
87212,162579,,30,Dra,5.02,66.5336
87234,163989,,35,Dra,5.02,31.7561
87280,162732,,88,Her,6.78,291.5452
87294,161912,Iot-2,,Sco,4.78,781.25
87563,163217,,90,Her,5.17,108.4599
87585,163588,Xi,32,Dra,3.73,34.5066
87728,164613,Psi-2,34,Dra,5.43,323.6246
87747,163506,,89,Her,5.47,100000.0
87808,163770,The,91,Her,3.86,230.9469
87833,164058,Gam,33,Dra,2.24,47.3037
87933,163993,Xi,92,Her,3.7,41.9463
87998,164136,Nu,94,Her,4.41,263.8522
88048,163917,Nu,64,Oph,3.32,46.2107
88116,163955,,4,Sgr,4.74,127.3885
88127,166865,,40,Dra,6.11,72.6216
88128,164349,,93,Her,4.67,205.7613
88136,166866,,41,Dra,5.74,63.5324
88142,164031,,5,Sgr,6.64,126.1034
88149,164284,,66,Oph,4.79,199.6008
88175,164259,Zet,57,Ser,4.62,23.5516
88192,164353,,67,Oph,3.93,377.3585
88258,164358,,6,Sgr,6.27,806.4516
88267,164668,,95,Her,4.26,127.8772
88290,164577,,68,Oph,4.42,89.6861
88331,164852,,96,Her,5.25,288.1844
88346,164900,,97,Her,6.22,233.6449
88380,164584,,7,Sgr,5.37,331.1258
88404,164764,Tau,69,Oph,4.77,51.3347
88469,164794,,9,Sgr,5.89,100000.0
88567,164975,Gam-1,,Sgr,4.66,266.6667
88601,165341,,70,Oph,4.03,5.0834
88635,165135,Gam-2,10,Sgr,2.98,29.7
88657,165625,,98,Her,4.96,226.2443
88714,165024,The,,Ara,3.65,249.3766
88745,165908,,99,Her,5.05,15.6421
88765,165760,,71,Oph,4.64,83.612
88771,165777,,72,Oph,3.71,26.6312
88794,166014,Omi,103,Her,3.84,103.6269
88817,166046,,100,Her,5.79,38.5802
88818,166045,,100,Her,5.83,49.6032
88866,165040,Pi,,Pav,4.33,39.8565
88886,166182,,102,Her,4.37,280.8989
88899,166230,,101,Her,5.1,100.8065
88943,165921,,11,Sgr,7.32,458.7156
88964,166233,,73,Oph,5.71,54.7945
89042,165499,Iot,,Pav,5.47,17.6118
89112,166063,Eps,,Tel,4.52,128.2051
89153,166464,,1,Sgr,4.96,78.4929
89172,167006,,104,Her,4.96,166.9449
89276,166767,,12,Sgr,7.09,100000.0
89341,166937,Mu,13,Sgr,3.84,100000.0
89348,168151,,36,Dra,4.99,22.92
89369,167036,,14,Sgr,5.49,138.8889
89439,167264,,15,Sgr,5.29,100000.0
89440,167263,,16,Sgr,5.96,100000.0
89448,168653,,37,Dra,5.96,84.674
89567,167570,,17,Sgr,6.89,180.5054
89594,169027,,38,Dra,6.79,189.3939
89642,167618,Eta,,Sgr,3.1,44.7427
89773,168532,,105,Her,5.3,298.5075
89826,168775,Kap,1,Lyr,4.33,77.1605
89861,168720,,106,Her,4.92,120.1923
89908,170000,Phi,43,Dra,4.22,92.8505
89918,168656,,74,Oph,4.85,79.8722
89925,168913,,108,Her,5.61,56.1798
89931,168454,Del,19,Sgr,2.72,106.6098
89935,168914,,107,Her,5.12,80.6452
89937,170153,Chi,44,Dra,3.55,8.0574
89962,168723,Eta,58,Ser,3.23,18.5426
90098,168339,Xi,,Pav,4.35,143.6782
90133,167468,Phi,,Oct,5.47,59.4884
90135,169156,Zet,,Sct,4.66,63.3714
90139,169414,,109,Her,3.85,36.4697
90156,170073,,39,Dra,4.98,56.4653
90185,169022,Eps,20,Sgr,1.79,43.9367
90191,169702,Mu,2,Lyr,5.11,134.5895
90260,169233,,18,Sgr,5.58,196.0784
90289,169420,,21,Sgr,4.81,125.7862
90344,170693,,42,Dra,4.82,96.5251
90422,169467,Alp,,Tel,3.49,85.1789
90441,169985,,59,Ser,5.2,143.8849
90496,169916,Lam,22,Sgr,2.82,23.9693
90568,169767,Zet,,Tel,4.1,38.6997
90595,170296,Gam,,Sct,4.67,97.9432
90642,170474,,60,Ser,5.38,70.4225
90713,170457,,23,Sgr,6.99,377.3585
90797,169978,Nu,,Pav,4.63,134.5895
90830,170465,Del-1,,Tel,4.92,216.9197
90844,170920,,61,Ser,5.93,188.3239
90853,170523,Del-2,,Tel,5.07,366.3004
90905,171635,,45,Dra,4.77,649.3506
90969,170867,Kap-2,,CrA,6.31,47.2144
90968,170868,Kap-1,,CrA,5.67,298.5075
90982,170845,The,,CrA,4.62,170.9402
91004,171115,,24,Sgr,5.49,632.9114
91066,171237,,25,Sgr,6.53,100000.0
91117,171443,Alp,,Sct,3.85,61.0501
91262,172167,Alp,3,Lyr,0.03,7.6787
91689,172546,,26,Sgr,6.22,62.8931
91726,172748,Del,,Sct,4.7,62.0732
91755,173524,,46,Dra,5.03,104.3841
91792,171759,Zet,,Pav,4.01,66.9792
91845,173009,Eps,,Sct,4.88,165.0165
91875,172777,Lam,,CrA,5.11,62.9327
91919,173582,Eps-1,4,Lyr,4.67,49.776
91926,173607,Eps-2,5,Lyr,4.59,47.6872
91971,173648,Zet-1,6,Lyr,4.34,47.8698
91973,173649,Zet-2,7,Lyr,5.73,47.6872
91975,173370,,4,Aql,5.02,142.6534
92041,173300,Phi,27,Sgr,3.17,73.3676
92043,173667,,110,Her,4.19,19.2086
92111,173460,,28,Sgr,5.37,209.6436
92112,175286,,50,Dra,5.37,85.8369
92117,173654,,5,Aql,5.89,111.8568
92161,173880,,111,Her,4.34,28.8934
92175,173764,Bet,,Sct,4.22,280.8989
92226,173540,Mu,,CrA,5.2,121.3592
92294,173168,The,,Pav,5.71,67.7048
92308,173715,Eta-1,,CrA,5.46,103.0928
92382,173861,Eta-2,,CrA,5.6,147.7105
92390,174116,,29,Sgr,5.22,286.533
92398,174585,Nu-1,8,Lyr,5.93,401.6064
92405,174602,Nu-2,9,Lyr,5.22,70.9723
92420,174638,Bet,10,Lyr,3.52,294.9853
92480,174309,,30,Sgr,6.29,70.5716
92501,174532,,7,Aql,6.89,112.7396
92512,175306,Omi,47,Dra,4.63,104.8218
92524,174589,,8,Aql,6.08,78.6164
92602,174596,,31,Sgr,6.58,85.7633
92609,173948,Lam,,Pav,4.22,438.5965
92614,174933,,112,Her,5.43,124.3781
92646,174295,Kap,,Tel,5.18,83.3333
92728,175426,Del-1,11,Lyr,5.58,303.9514
92747,174947,,33,Sgr,5.68,502.5126
92761,174974,Nu-1,32,Sgr,4.86,344.8276
92782,176524,Ups,52,Dra,4.82,105.4852
92791,175588,Del-2,12,Lyr,4.22,225.7336
92818,175492,,113,Her,4.57,144.7178
92824,164461,Chi,,Oct,5.29,78.7402
92845,175190,Nu-2,35,Sgr,5.0,83.9631
92855,175191,Sig,34,Sgr,2.05,69.8324
92862,175865,,13,Lyr,4.08,91.4077
92946,175638,The-1,63,Ser,4.62,47.4158
92951,175639,The-2,63,Ser,4.98,51.9481
92997,176408,,48,Dra,5.67,84.674
93015,174694,Kap,,Pav,4.4,153.3742
93026,175751,Eta,,Sct,4.83,62.0347
93051,175869,,64,Ser,5.56,348.4321
93057,175687,Xi-1,36,Sgr,5.02,632.9114
93085,175775,Xi-2,37,Sgr,3.52,111.9821
93148,175510,Lam,,Tel,4.85,187.6173
93163,175329,Ome,,Pav,5.14,172.7116
93174,175813,Eps,,CrA,4.83,30.1841
93179,176232,,10,Aql,5.91,78.3699
93194,176437,Gam,14,Lyr,3.25,190.1141
93203,176303,,11,Aql,5.27,48.4262
93244,176411,Eps,13,Aql,4.02,47.5059
93279,176670,Lam,15,Lyr,4.94,338.9831
93340,177249,,49,Dra,5.51,150.8296
93408,177196,,16,Lyr,5.0,37.4392
93429,176678,,12,Aql,4.02,44.1306
93506,176687,Zet,38,Sgr,2.6,27.0416
93526,176984,,14,Aql,5.4,153.1394
93542,176638,Zet,,CrA,4.74,59.2066
93683,177241,Omi,39,Sgr,3.76,43.554
93713,178207,,51,Dra,5.4,111.1111
93717,177463,,15,Aql,5.4,88.7311
93747,177724,Zet,17,Aql,2.99,25.4582
93805,177756,Lam,16,Aql,3.43,37.9219
93815,177171,Rho,,Tel,5.17,56.7215
93825,177474,Gam,,CrA,4.23,17.304
93864,177716,Tau,40,Sgr,3.32,37.2856
93867,178125,,18,Aql,5.07,214.1328
93903,178475,Iot,18,Lyr,5.25,274.7253
93917,178449,,17,Lyr,5.2,41.58
94005,177873,Del,,CrA,4.57,54.7345
94068,178596,,19,Aql,5.23,45.7875
94083,180777,,59,Dra,5.11,27.3
94114,178253,Alp,,CrA,4.11,38.432
94140,179933,,55,Dra,6.26,93.4579
94141,178524,Pi,41,Sgr,2.88,156.25
94160,178345,Bet,,CrA,4.1,145.3488
94302,180006,,53,Dra,5.13,105.4852
94311,179527,,19,Lyr,5.93,273.224
94376,180711,Del,57,Dra,3.07,29.8686
94385,179406,,20,Aql,5.35,300.3003
94477,179761,,21,Aql,5.14,217.8649
94481,180163,Eta,20,Lyr,4.43,425.5319
94490,180610,,54,Dra,5.0,50.6586
94620,180317,,1,Sge,5.65,91.8274
94643,179950,Psi,42,Sgr,4.86,91.4913
94648,181984,Tau,60,Dra,4.45,44.8833
94703,180554,,1,Vul,4.76,248.7562
94713,180809,The,21,Lyr,4.35,255.102
94724,179009,Tau,,Pav,6.25,194.5525
94727,180482,,22,Aql,5.59,164.4737
94779,181276,Kap,1,Cyg,3.8,38.0662
94820,180540,,43,Sgr,4.88,147.7105
94827,180968,,2,Vul,5.46,373.1343
94834,180868,Ome-1,25,Aql,5.28,127.2265
94885,180972,,23,Aql,5.1,113.7656
94913,181053,,24,Aql,6.4,127.0648
94982,181333,,28,Aql,5.53,103.4126
95002,181383,Ome-2,29,Aql,6.03,81.4996
95066,181391,,26,Aql,4.98,47.2813
95073,181440,,27,Aql,5.46,134.2282
95081,182564,Pi,58,Dra,4.6,70.1754
95168,181577,Rho-1,44,Sgr,3.92,38.9257
95176,181615,Ups,46,Sgr,4.52,546.4481
95188,181645,Rho-2,45,Sgr,5.84,101.833
95241,181454,Bet-1,,Sgr,3.96,96.1538
95260,182255,,3,Vul,5.22,120.4819
95261,181296,Eta,,Tel,5.03,48.216
95294,181623,Bet-2,,Sgr,4.27,41.1353
95347,181869,Alp,,Sgr,3.96,55.7414
95372,182568,,2,Cyg,4.99,258.3979
95398,182490,,2,Sge,6.27,112.1076
95435,182571,,3,Sge,6.84,121.5067
95447,182572,,31,Aql,5.17,15.1768
95477,182369,Chi-1,47,Sgr,5.02,77.2201
95486,182391,Chi-2,48,Sgr,7.27,543.4783
95498,182762,,4,Vul,5.14,83.2639
95503,182416,Chi-3,49,Sgr,5.45,153.1394
95501,182640,Del,30,Aql,3.36,15.5255
95556,183056,,4,Cyg,5.17,216.9197
95560,182919,,5,Vul,5.6,72.8863
95564,182629,,50,Sgr,5.57,132.2751
95585,182835,Nu,32,Aql,4.64,869.5652
95656,183534,Iot-1,7,Cyg,5.73,107.5269
95771,183439,Alp,6,Vul,4.44,91.1577
95785,183491,,8,Vul,5.82,157.7287
95793,183324,,35,Aql,5.79,61.1995
95818,183537,,7,Vul,6.34,355.8719
95853,184006,Iot-2,10,Cyg,3.76,37.2024
95932,183028,Mu,,Tel,6.29,34.3761
95937,183630,,36,Aql,5.03,162.0746
95947,183912,Bet-1,6,Cyg,3.05,133.1558
95951,183914,Bet-2,6,Cyg,5.12,122.549
96052,184171,,8,Cyg,4.74,263.8522
96100,185144,Sig,61,Dra,4.67,5.7547
96229,184406,Mu,38,Aql,4.45,32.9924
96275,184606,,9,Vul,5.0,169.4915
96302,184759,,9,Cyg,5.39,171.2329
96327,184492,,37,Aql,5.12,140.2525
96341,184127,Iot,,Tel,4.88,113.6364
96387,185037,,11,Cyg,6.03,184.8429
96406,184552,,51,Sgr,5.64,90.2527
96441,185395,The,13,Cyg,4.49,18.3352
96465,184707,,52,Sgr,4.59,58.1395
96468,184930,Iot,41,Aql,4.36,119.9041
96483,184915,Kap,39,Aql,4.93,515.4639
96516,185194,Eps,4,Sge,5.67,147.2754
96556,185124,,42,Aql,5.45,32.1543
96665,185507,Sig,44,Aql,5.18,239.2344
96683,185734,Phi,12,Cyg,4.68,81.6327
96693,185872,,14,Cyg,5.41,200.0
96729,185404,,53,Sgr,6.33,98.7167
96757,185758,Alp,5,Sge,4.39,130.3781
96807,185762,,45,Aql,5.64,107.9914
96808,185644,,54,Sgr,5.3,73.7463
96837,185958,Bet,6,Sge,4.39,134.7709
96895,186408,,16,Cyg,5.99,21.0793
96931,186122,,46,Aql,6.33,215.5172
96950,186005,,55,Sgr,5.06,54.3183
96957,186203,Chi,47,Aql,5.28,261.7801
97077,186486,,10,Vul,5.5,101.7294
97118,186675,,15,Cyg,4.89,88.6525
97139,186547,Psi,48,Aql,6.25,310.559
97165,186882,Del,18,Cyg,2.86,50.5817
97229,186689,Ups,49,Aql,5.89,53.6193
97278,186791,Gam,50,Aql,2.72,121.0654
97290,186648,,56,Sgr,4.87,63.6537
97295,187013,,17,Cyg,5.0,21.2314
97365,187076,Del,7,Sge,3.68,182.1494
97421,186543,Nu,,Tel,5.33,49.554
97433,188119,Eps,63,Dra,3.84,45.3721
97473,187259,Pi,52,Aql,5.75,157.7287
97496,187362,Zet,8,Sge,5.01,78.1861
97629,187796,Chi,,Cyg,7.91,180.8318
97630,187849,,19,Cyg,5.18,212.3142
97635,188056,,20,Cyg,5.03,62.0732
97649,187642,Alp,53,Aql,0.76,5.1295
97650,187532,,51,Aql,5.38,27.8707
97675,187691,Omi,54,Aql,5.12,19.1902
97679,187811,,12,Vul,4.9,193.0502
97783,187739,,57,Sgr,5.88,115.8749
97796,188001,,9,Sge,6.24,100000.0
97804,187929,Eta,55,Aql,3.87,423.7288
97870,188665,,23,Cyg,5.14,194.1748
97886,188260,,13,Vul,4.57,102.5641
97928,188154,,56,Aql,5.76,193.7984
97938,188310,Xi,59,Aql,4.71,56.2746
97966,188293,,57,Aql,5.7,147.929
97967,188294,,57,Aql,6.49,155.7632
97980,188350,,58,Aql,5.6,113.8952
98032,188114,Iot,,Sgr,4.12,55.7414
98036,188512,Bet,60,Aql,3.71,13.6986
98055,189037,Psi,24,Cyg,4.91,86.2813
98066,188376,Ome,58,Sgr,4.7,25.9875
98068,188892,,22,Cyg,4.95,442.4779
98085,188727,,10,Sge,5.71,100000.0
98103,188728,Phi,61,Aql,5.28,67.2948
98110,188947,Eta,21,Cyg,3.89,41.3736
98162,188603,,59,Sgr,4.54,255.102
98234,189090,,11,Sge,5.54,139.6648
98258,188899,,61,Sgr,5.01,81.4332
98337,189319,Gam,12,Sge,3.51,79.2393
98353,189005,,60,Sgr,4.84,96.0615
98375,189410,,14,Vul,5.68,49.1159
98401,190960,,69,Dra,6.2,161.2903
98412,189103,The-1,,Sgr,4.37,158.9825
98421,189118,The-2,,Sgr,5.3,48.4966
98425,189687,,25,Cyg,5.15,404.8583
98438,189577,,13,Sge,5.33,312.5
98478,188584,Mu-1,,Pav,5.75,73.2601
98495,188228,Eps,,Pav,3.97,32.2165
98543,189849,,15,Vul,4.66,72.4638
98571,190147,,26,Cyg,5.06,133.1558
98583,190544,,64,Dra,5.22,180.1802
98624,188887,Mu-2,,Pav,5.32,72.4638
98633,189741,,63,Sgr,5.69,90.9918
98636,190004,,16,Vul,5.23,67.981
98658,190713,,65,Dra,6.27,110.4972
98688,189763,,62,Sgr,4.43,137.5516
98702,190940,Rho,67,Dra,4.51,131.406
98819,190406,,15,Sge,5.8,17.7683
98823,190327,Tau,63,Aql,5.51,141.6431
98844,190299,,62,Aql,5.67,127.8772
98920,190608,Eta,16,Sge,5.09,49.1642
98953,190454,,65,Sgr,6.53,124.3781
98962,191277,,66,Dra,5.4,52.687
99031,191026,,27,Cyg,5.38,23.9464
99080,190993,,17,Vul,5.08,154.5595
99120,190421,Xi,,Tel,4.93,331.1258
99171,191067,,64,Aql,5.97,46.9484
99240,190248,Del,,Pav,3.55,6.1084
99255,192907,Kap,1,Cep,4.38,96.5251
99303,191610,,28,Cyg,4.93,317.4603
99352,191570,The,17,Sge,6.51,45.2489
99404,191747,,18,Vul,5.51,129.8701
99473,191692,The,65,Aql,3.24,87.7963
99500,192455,,68,Dra,5.7,48.3559
99518,192004,,19,Vul,5.51,432.9004
99529,191753,Xi-1,1,Cap,6.34,143.8849
99531,192044,,20,Vul,5.91,246.9136
99572,191862,Xi-2,2,Cap,5.84,27.7008
99631,192107,,66,Aql,5.44,216.9197
99639,192514,,30,Cyg,4.8,187.2659
99655,192696,,33,Cyg,4.28,48.8281
99675,192577,,31,Cyg,3.8,271.0027
99738,192518,,21,Vul,5.19,91.1577
99742,192425,Rho,67,Aql,4.94,45.977
99770,192640,,29,Cyg,4.93,42.6985
99848,192909,,32,Cyg,3.96,324.6753
99853,192713,,22,Vul,5.18,588.2353
99874,192806,,23,Vul,4.5,103.8422
99913,192836,,18,Sge,6.11,101.626
99918,192666,,3,Cap,6.3,135.8696
99951,192944,,24,Vul,5.3,134.2282
100027,192876,Alp-1,5,Cap,4.3,174.5201
100044,193237,,34,Cyg,4.77,100000.0
100062,192879,,4,Cap,5.86,96.9932
100064,192947,Alp-2,6,Cap,3.58,32.4465
100108,193369,,36,Cyg,5.58,62.5
100122,193370,,35,Cyg,5.14,970.8738
100195,193150,Sig,7,Cap,5.28,343.6426
100221,193964,,71,Dra,5.71,115.8749
100310,193432,Nu,8,Cap,4.77,77.6398
100345,193495,Bet,9,Cap,3.05,100.2004
100435,193911,,25,Vul,5.5,305.8104
100453,194093,Gam,37,Cyg,2.23,561.7978
100469,193571,Kap-1,,Sgr,5.6,66.1376
100565,194666,,72,Dra,8.6,148.1481
100587,194317,,39,Cyg,4.43,76.6284
100591,193807,Kap-2,,Sgr,5.64,95.511
100751,193924,Alp,,Pav,1.94,54.8246
100859,195068,,43,Cyg,5.73,37.5657
100881,194636,Pi,10,Cap,5.08,167.2241
100907,195050,,40,Cyg,5.63,81.4332
100965,196787,,75,Dra,5.38,139.6648
100977,194939,,68,Aql,6.12,184.8429
101027,194943,Rho,11,Cap,4.77,30.2663
101067,195324,,42,Cyg,5.9,793.6508
101076,195295,,41,Cyg,4.01,235.8491
101082,196925,,74,Dra,5.96,63.7349
101093,195725,The,2,Cep,4.21,41.841
101101,195135,,69,Aql,4.91,61.2745
101120,195093,Omi,12,Cap,6.74,100000.0
101123,195094,Omi,12,Cap,5.94,66.357
101138,195556,Ome-1,45,Cyg,4.94,278.5515
101160,195325,,1,Del,6.03,227.7904
101214,195593,,44,Cyg,6.21,100000.0
101243,195774,Ome-2,46,Cyg,5.44,122.399
101260,196502,,73,Dra,5.18,121.3592
101421,195810,Eps,2,Del,4.03,101.3171
101474,196093,,47,Cyg,4.61,847.4576
101477,195569,Nu,,Mic,5.12,71.736
101483,195943,Eta,3,Del,5.39,72.4113
101589,196180,Zet,4,Del,4.64,67.4764
101612,195627,Phi-1,,Pav,4.75,27.7932
101641,196362,,26,Vul,6.4,195.6947
101692,196321,,70,Aql,4.91,398.4064
101716,196504,,27,Vul,5.59,97.371
101751,196348,,13,Cap,6.76,259.0674
101765,196606,,48,Cyg,6.32,261.7801
101769,196524,Bet,6,Del,3.64,30.931
101772,196171,Alp,,Ind,3.11,30.1477
101773,195961,Rho,,Pav,4.86,58.1395
101800,196544,Iot,5,Del,5.42,57.9374
101847,196574,,71,Aql,4.31,103.4126
101867,196724,,29,Vul,4.81,71.3776
101868,196740,,28,Vul,5.06,160.2564
101882,196725,The,8,Del,5.69,617.284
101916,196755,Kap,7,Del,5.07,30.1205
101923,196662,Tau,14,Cap,5.24,348.4321
101936,196758,,1,Aqr,5.15,71.4796
101958,196867,Alp,9,Del,3.77,77.821
101983,196378,Phi-2,,Pav,5.11,24.6609
101984,196777,Ups,15,Cap,5.15,177.9359
102066,197177,,49,Cyg,5.53,244.4988
102080,197121,,10,Del,6.01,155.521
102098,197345,Alp,50,Cyg,1.25,432.9004
102125,196067,Mu-2,,Oct,6.51,44.2674
102157,196519,Ups,,Pav,5.14,240.9639
102162,196051,Mu-1,,Oct,5.99,101.1122
102177,197511,,51,Cyg,5.41,390.625
102208,199095,,76,Dra,5.75,108.1081
102253,197950,,4,Cep,5.59,42.7899
102281,197461,Del,11,Del,4.43,68.4463
102333,197157,Eta,,Ind,4.51,24.1721
102388,197752,,30,Vul,4.92,99.6016
102395,197051,Bet,,Pav,3.42,41.425
102422,198149,Eta,3,Cep,3.41,14.2653
102453,197912,,52,Cyg,4.22,61.6523
102485,197692,Psi,16,Cap,4.13,14.6778
102487,197725,,17,Cap,5.91,80.8407
102488,197989,Eps,53,Cyg,2.48,22.2916
102531,197963,Gam-1,12,Del,5.15,37.9507
102532,197964,Gam-2,12,Del,4.27,38.7297
102589,198183,Lam,54,Cyg,4.53,235.8491
102618,198001,Eps,2,Aqr,3.78,63.6943
102624,198026,,3,Aqr,4.43,179.5332
102633,198069,,13,Del,5.57,131.406
102693,197937,Iot,,Mic,5.11,35.4233
102724,198478,,55,Cyg,4.81,714.2857
102773,197635,Sig,,Pav,5.41,92.5926
102790,198048,Zet,,Ind,4.9,126.5823
102805,198390,,15,Del,6.01,30.6185
102819,198391,,14,Del,6.32,153.3742
102831,198232,Alp,,Mic,4.89,116.0093
102843,198639,,56,Cyg,5.06,40.9668
102945,198571,,4,Aqr,5.99,60.7165
102950,198308,Iot,,Ind,5.06,143.0615
102978,198542,Ome,18,Cap,4.12,258.3979
102989,198529,Bet,,Mic,6.06,147.929
103004,198809,,31,Vul,4.56,57.8035
103005,198667,,5,Aqr,5.55,199.2032
103045,198743,Mu,6,Aqr,4.73,48.216
103089,199081,,57,Cyg,4.8,161.0306
103200,199169,,32,Vul,5.03,178.5714
103226,199012,,19,Cap,5.78,111.8568
103227,198700,Bet,,Ind,3.67,187.6173
103294,199253,,17,Del,5.19,147.0588
103298,199254,,16,Del,5.54,60.4961
103401,199345,,7,Aqr,5.49,167.5042
103413,199629,Nu,58,Cyg,3.94,114.8106
103511,199697,,33,Vul,5.3,138.6963
103527,199665,,18,Del,5.51,75.3012
103569,199766,Eps,1,Equ,5.3,54.0833
103616,199728,,20,Cap,6.26,164.2036
103632,200120,,59,Cyg,4.74,434.7826
103640,199828,,8,Aqr,6.61,87.7193
103681,199944,,10,Aqr,6.53,121.3592
103682,199960,,11,Aqr,6.21,27.2257
103703,199947,,21,Cap,6.07,160.5136
103728,200004,,9,Aqr,6.55,213.2196
103732,200310,,60,Cyg,5.38,467.2897
103738,199951,Gam,,Mic,4.67,70.2247
103813,200256,,2,Equ,6.72,80.9717
103882,200163,Zet,,Mic,5.32,35.3732
103981,200496,,12,Aqr,5.53,153.8462
104019,200499,Eta,22,Cap,4.82,49.505
104031,200644,,3,Equ,5.63,235.8491
104043,199532,Alp,,Oct,5.13,43.535
104060,200905,Xi,62,Cyg,3.72,258.3979
104085,200365,Mu,,Ind,5.17,112.1076
104101,200790,,4,Equ,5.94,48.9237
104139,200761,The,23,Cap,4.08,49.7265
104148,200718,Del,,Mic,5.69,92.4214
104177,200702,Eta,,Mic,5.55,218.3406
104194,201251,,63,Cyg,4.56,316.4557
104214,201091,,61,Cyg,5.2,3.4865
104217,201092,,61,Cyg,6.05,3.498
104234,200914,,24,Cap,4.49,139.8601
104365,201184,Chi,25,Cap,5.3,55.1268
104382,177482,Sig,,Oct,5.45,86.1326
104429,201301,,26,Cap,6.73,174.8252
104452,201352,,27,Cap,6.25,51.5996
104459,201381,Nu,13,Aqr,4.5,48.852
104521,201601,Gam,5,Equ,4.7,36.2976
104538,201616,,6,Equ,6.07,135.8696
104732,202109,Zet,64,Cyg,3.21,43.8789
104755,201371,Omi,,Pav,5.06,273.9726
104858,202275,Del,7,Equ,4.47,18.4877
104887,202444,Tau,65,Cyg,3.74,20.3417
104963,202320,Phi,28,Cap,5.17,197.2387
104974,202369,,29,Cap,5.31,187.6173
104987,202447,Alp,8,Equ,3.92,58.3431
105019,202466,,14,Aqr,6.45,507.6142
105102,202850,Sig,67,Cyg,4.22,884.9558
105138,202904,Ups,66,Cyg,4.41,196.8504
105140,202627,Eps,,Mic,4.71,55.8659
105143,202671,,30,Cap,5.4,163.6661
105164,202753,,15,Aqr,5.83,311.5265
105168,202723,,31,Cap,7.07,95.7854
105186,203064,,68,Cyg,5.04,100000.0
105199,203280,Alp,5,Cep,2.45,15.0376
105268,203467,,6,Cep,5.19,609.7561
