hip,hd,bayer,flam,con,mag,dist
68002,121263,Zet,,Cen,2.55,117.096
68092,121607,,92,Vir,5.9,90.2527
68103,121710,,9,Boo,5.02,178.2531
68245,121743,Phi,,Cen,3.83,161.0306
68269,121847,,47,Hya,5.2,102.0408
68276,121996,,10,Boo,5.76,144.7178
68282,121790,Ups-1,,Cen,3.87,131.0616
68390,122066,,48,Hya,5.77,55.991
68478,122405,,11,Boo,6.23,90.9918
68520,122408,Tau,93,Vir,4.23,68.9655
68523,122223,Ups-2,,Cen,4.34,389.1051
68702,122451,Bet,,Cen,0.61,120.1923
68756,123299,Alp,11,Dra,3.67,92.9368
68815,122250,The,,Aps,5.69,113.1222
68862,122980,Chi,,Cen,4.36,156.4945
68888,123177,,94,Vir,6.54,118.4834
68895,123123,Pi,49,Hya,3.25,30.9598
68933,123139,The,5,Cen,2.06,18.0343
68940,123255,,95,Vir,5.46,58.0383
68956,124063,,3,UMi,6.43,130.8901
69068,123782,,13,Boo,5.26,168.3502
69112,124547,,4,UMi,4.8,140.056
69127,123630,,96,Vir,6.45,127.2265
69226,123999,,12,Boo,4.82,37.4251
69403,124248,,97,Vir,7.15,68.3527
69415,124206,,50,Hya,5.07,66.7111
69427,124294,Kap,98,Vir,4.18,78.125
69481,124674,Kap-1,17,Boo,6.62,46.4468
69483,124675,Kap-2,17,Boo,4.53,50.1002
69536,124570,,14,Boo,5.53,33.9213
69612,124679,,15,Boo,5.29,81.2348
69673,124897,Alp,16,Boo,-0.05,11.2575
69701,124850,Iot,99,Vir,4.07,22.237
69713,125161,Iot,21,Boo,4.75,29.0698
69732,125162,Lam,19,Boo,4.18,30.3582
69896,123998,Eta,,Aps,4.89,42.337
69974,125337,Lam,100,Vir,4.52,57.1755
69989,125451,,18,Boo,5.41,26.096
69996,125238,Iot,,Lup,3.55,103.6269
70012,125454,Ups,102,Vir,5.14,80.1925
70027,125560,,20,Boo,4.84,57.3394
70090,125473,Psi,,Cen,4.05,79.3651
70220,125817,,103,Vir,6.82,107.0664
70248,124771,Eps,,Aps,5.06,197.6285
70306,125932,,51,Hya,4.78,48.2625
70336,126035,,2,Lib,6.22,102.6694
70497,126660,The,23,Boo,4.04,14.5307
70574,126341,Tau-1,,Lup,4.56,334.4482
70576,126354,Tau-2,,Lup,4.33,97.8474
70602,126661,,22,Boo,5.4,89.1266
70638,124882,Del,,Oct,4.31,91.659
70680,126722,,104,Vir,6.18,78.8644
70692,127700,,5,UMi,4.25,110.011
70753,126769,,52,Hya,4.97,120.6273
70755,126868,Phi,105,Vir,4.81,36.2582
70791,127243,,24,Boo,5.58,100.0
70794,126927,,106,Vir,5.42,191.5709
71053,127665,Rho,25,Boo,3.57,49.0918
71075,127762,Gam,27,Boo,3.04,26.6099
71115,127739,,26,Boo,5.91,54.0249
71121,127381,Sig,,Lup,4.44,176.3668
71284,128167,Sig,28,Boo,4.47,15.8328
71352,127972,Eta,,Cen,2.33,93.7207
71536,128345,Rho,,Lup,4.05,96.8992
71618,129002,,33,Boo,5.39,57.0125
71652,128756,,3,Lib,7.18,203.252
71681,128621,Alp-2,,Cen,1.35,1.3248
71683,128620,Alp-1,,Cen,-0.01,1.3248
71762,129174,Pi-1,29,Boo,4.49,93.7207
71795,129246,Zet,30,Boo,3.78,53.8793
71832,129312,,31,Boo,4.86,164.7446
71837,129336,,32,Boo,5.55,123.6094
71860,129056,Alp,,Lup,2.3,142.4501
71908,128898,Alp,,Cir,3.18,16.57
71957,129502,Mu,107,Vir,3.87,18.2715
71974,129433,,4,Lib,5.7,152.439
71995,129712,,34,Boo,4.8,215.9827
72105,129988,Eps,36,Boo,2.35,62.1118
72125,129972,Omi,35,Boo,4.6,74.5156
72154,129956,,108,Vir,5.68,151.2859
72181,130834,,6,UMi,7.52,216.4502
72194,129978,,5,Lib,6.33,444.4444
72197,129926,,54,Hya,5.15,30.2847
72220,130109,,109,Vir,3.73,41.2371
72323,130158,,55,Hya,5.61,227.7904
72357,130259,,56,Hya,5.23,109.7695
72370,129078,Alp,,Aps,3.83,136.9863
72378,130274,,57,Hya,5.76,137.1742
72487,130945,,38,Boo,5.76,48.9956
72489,130559,Mu,7,Lib,5.32,72.9395
72524,131041,,39,Boo,5.68,68.5871
72571,130694,,58,Hya,4.42,101.5228
72603,130819,Alp-1,8,Lib,5.15,22.9779
72607,131873,Bet,7,UMi,2.07,40.1445
72622,130841,Alp-2,9,Lib,2.75,23.2396
72631,130952,,11,Lib,4.93,67.0241
72659,131156,Xi,37,Boo,4.54,6.7123
72683,130807,Omi,,Lup,4.32,123.9157
72702,131027,,10,Lib,6.27,223.7136
72929,131430,,12,Lib,5.27,127.8772
72934,131530,Xi-1,13,Lib,5.78,103.3058
72965,131058,Zet,,Cir,6.09,390.625
73129,131492,The,,Cir,5.08,462.963
73133,131918,Xi-2,15,Lib,5.48,168.3502
73136,133086,,8,UMi,6.83,160.0
73165,132052,,16,Lib,4.47,26.9034
73249,132230,,17,Lib,6.61,109.4092
73273,132058,Bet,,Lup,2.68,117.3709
73284,132219,,59,Hya,5.65,113.1222
73310,132345,,18,Lib,5.88,95.057
73334,132200,Kap,,Cen,3.13,117.5088
73369,132772,,40,Boo,5.64,51.4933
73440,133621,,9,UMi,6.64,34.0832
73473,132742,Del,19,Lib,4.91,90.009
73540,130650,Pi-1,,Oct,5.65,120.7729
73555,133208,Bet,42,Boo,3.49,69.0608
73566,132851,,60,Hya,5.83,101.7294
73568,133124,Ome,41,Boo,4.8,113.8952
73620,133165,,110,Vir,4.39,59.9161
73695,133640,,44,Boo,4.83,12.5078
73714,133216,Sig,20,Lib,3.25,88.4173
73745,133582,Psi,43,Boo,4.52,75.4148
73771,131246,Pi-2,,Oct,5.65,598.8024
73776,132905,Eta,,Cir,5.16,84.6024
73807,133242,Pi,,Lup,3.91,135.8696
73808,134584,,10,UMi,7.56,150.1502
73841,133962,,47,Boo,5.59,84.1043
73945,133774,Nu,21,Lib,5.19,213.2196
73953,133800,,22,Lib,6.41,114.4165
73996,134083,,45,Boo,4.93,19.5542
74087,134320,,46,Boo,5.67,158.7302
74117,133955,Lam,,Lup,4.07,238.0952
74296,131596,Ome,,Oct,5.88,97.1817
74376,134481,Kap-1,,Lup,3.88,55.1876
74380,134482,Kap-2,,Lup,5.7,77.7605
74392,134759,Iot-1,24,Lib,4.54,116.4144
74395,134505,Zet,,Lup,3.41,35.9712
74493,134967,Iot-2,25,Lib,6.07,69.8812
74500,134987,,23,Lib,6.47,26.2055
74596,135502,Chi,48,Boo,5.28,77.3994
74600,135230,,26,Lib,6.18,245.098
74604,135153,,1,Lup,4.91,598.8024
74649,135482,,3,Ser,5.32,114.4165
74666,135722,Del,49,Boo,3.46,37.3413
74689,135559,,4,Ser,5.62,46.1467
74778,135240,Del,,Cir,5.04,100000.0
74785,135742,Bet,27,Lib,2.61,56.7537
74793,136726,,11,UMi,5.02,122.1001
74806,136727,,12,UMi,7.27,170.068
74824,135379,Bet,,Cir,4.07,30.553
74837,135291,Eps,,Cir,4.85,125.0
74857,135758,,2,Lup,4.35,99.9001
74911,135734,Mu,,Lup,4.27,102.8807
74946,135382,Gam,,TrA,2.87,56.3698
74975,136202,,5,Ser,5.04,25.3807
75049,136512,Omi,1,CrB,5.51,82.7815
75097,137422,Gam,13,UMi,3.0,149.2537
75110,136366,,28,Lib,6.16,183.4862
75118,136407,Omi,29,Lib,6.14,56.6572
75119,136514,,6,Ser,5.35,73.3676
75141,136298,Del,,Lup,3.22,271.0027
75152,137686,,14,UMi,7.38,62.2278
75177,136422,Phi-1,,Lup,3.57,84.317
75178,136849,,50,Boo,5.38,80.3213
75181,136352,Nu-2,,Lup,5.65,14.8126
75206,136351,Nu-1,,Lup,4.99,35.8551
75230,136831,,7,Ser,6.29,137.5516
75264,136504,Eps,,Lup,3.37,156.9859
75294,136801,,30,Lib,6.46,296.7359
75304,136664,Phi-2,,Lup,4.54,159.2357
